id;name;handle;user_id
1;homeschool meanwhile across;low expansion;1
2;coaxingly;sans acceptable;1
3;agreeable ferociously whoa;pish exactly atop;1
4;save whose;unit exhausted;1
5;ponder circular;brightly rigid next;1
6;regarding pfft;begonia brr;1
7;boo variable;tune inquisitively attribute;1
8;suspiciously oh;wherever;1
9;once aside concerning;boohoo;1
10;window earth;shallow triangular;1
11;who delicious;settler;1
12;uselessly hm;solemnly parched so;2
13;antagonize;quicker likewise whine;2
14;gadzooks;assist;2
15;recommendation book brr;arrogantly artistic jaunty;2
16;onto sans;illusion;2
17;since except yahoo;brook;2
18;rotating boo who;grade juicy;2
19;dandelion cheese till;unhappy fooey against;2
20;oil furthermore;whoever cycle;2
21;yahoo reasonable though;extroverted;1
22;bah;excitedly breakable;1
23;gah;usually charming;1
24;wasteful quarterly;mobilise considering ascribe;1
25;times ew;making roundabout;1
26;psst;mortar coaxingly;1
27;scruple leading ick;yum strictly almost;1
28;anticodon;sternly hence;2
29;bravely searchingly past;against;2
30;too;following soliloquy notwithstanding;2
